code,market_symbol,name,rank,rank_change,his_rank_change,his_rank_change_rank,calc_time,market_all_count,rank_status
002185,SZ002185,华天科技,1.0,0.0,0.0,2430.0,2026-07-10 20:58:00,5530.0,ok
603986,SH603986,兆易创新,2.0,0.0,0.0,2430.0,2026-07-10 21:02:00,5530.0,ok
600584,SH600584,长电科技,3.0,0.0,0.0,2438.0,2026-07-10 20:58:00,5530.0,ok
000725,SZ000725,京东方Ａ,4.0,0.0,0.0,2423.0,2026-07-10 20:58:00,5530.0,ok
000938,SZ000938,紫光股份,5.0,0.0,6.0,2401.0,2026-07-10 20:58:00,5530.0,ok
600118,SH600118,中国卫星,6.0,0.0,161.0,1840.0,2026-07-10 20:58:00,5530.0,ok
000977,SZ000977,浪潮信息,7.0,0.0,0.0,2424.0,2026-07-10 20:58:00,5530.0,ok
000021,SZ000021,深科技,8.0,0.0,-2.0,2448.0,2026-07-10 20:58:00,5530.0,ok
600879,SH600879,XD航天电,9.0,0.0,236.0,1647.0,2026-07-10 20:58:00,5530.0,ok
600667,SH600667,太极实业,10.0,0.0,-5.0,2461.0,2026-07-10 20:58:00,5530.0,ok
300065,SZ300065,海兰信,11.0,0.0,473.0,1172.0,2026-07-10 20:58:00,5530.0,ok
301583,SZ301583,N托伦斯,12.0,0.0,0.0,2428.0,2026-07-10 20:58:00,5530.0,ok
002202,SZ002202,金风科技,13.0,0.0,173.0,1803.0,2026-07-10 20:58:00,5530.0,ok
002342,SZ002342,巨力索具,14.0,0.0,295.0,1508.0,2026-07-10 20:58:00,5530.0,ok
300308,SZ300308,中际旭创,15.0,0.0,25.0,2313.0,2026-07-10 20:58:00,5530.0,ok
000547,SZ000547,航天发展,16.0,0.0,356.0,1380.0,2026-07-10 20:58:00,5530.0,ok
600206,SH600206,有研新材,17.0,0.0,-8.0,2474.0,2026-07-10 20:58:00,5530.0,ok
601698,SH601698,中国卫通,18.0,0.0,356.0,1379.0,2026-07-10 20:58:00,5530.0,ok
002361,SZ002361,神剑股份,19.0,0.0,447.0,1207.0,2026-07-10 20:58:00,5530.0,ok
002354,SZ002354,天娱数科,20.0,0.0,113.0,1972.0,2026-07-10 20:58:00,5530.0,ok
002414,SZ002414,高德红外,21.0,0.0,11.0,2373.0,2026-07-10 20:58:00,5530.0,ok
300059,SZ300059,东方财富,22.0,0.0,4.0,2411.0,2026-07-10 20:58:00,5530.0,ok
600410,SH600410,华胜天成,23.0,0.0,489.0,1146.0,2026-07-10 20:58:00,5530.0,ok
603019,SH603019,中科曙光,24.0,0.0,22.0,2323.0,2026-07-10 20:58:00,5530.0,ok
002384,SZ002384,东山精密,25.0,0.0,-15.0,2511.0,2026-07-10 20:58:00,5530.0,ok
002156,SZ002156,通富微电,26.0,0.0,-18.0,2528.0,2026-07-10 20:58:00,5530.0,ok
002747,SZ002747,埃斯顿,27.0,0.0,0.0,2426.0,2026-07-10 20:58:00,5530.0,ok
002115,SZ002115,三维通信,28.0,0.0,154.0,1867.0,2026-07-10 20:58:00,5530.0,ok
002131,SZ002131,利欧股份,29.0,0.0,246.0,1625.0,2026-07-10 20:58:00,5530.0,ok
002407,SZ002407,多氟多,30.0,0.0,4.0,2408.0,2026-07-10 20:58:00,5530.0,ok
600172,SH600172,黄河旋风,31.0,0.0,2.0,2418.0,2026-07-10 20:58:00,5530.0,ok
600487,SH600487,亨通光电,32.0,0.0,-3.0,2449.0,2026-07-10 20:58:00,5530.0,ok
000063,SZ000063,中兴通讯,33.0,0.0,-21.0,2546.0,2026-07-10 20:58:00,5530.0,ok
600745,SH600745,*ST闻泰,34.0,0.0,76.0,2109.0,2026-07-10 20:58:00,5530.0,ok
300058,SZ300058,蓝色光标,35.0,0.0,159.0,1848.0,2026-07-10 20:58:00,5530.0,ok
688523,SH688523,航天环宇,35.0,0.0,2078.0,129.0,2026-07-10 21:02:00,5530.0,ok
600522,SH600522,中天科技,37.0,0.0,-15.0,2515.0,2026-07-10 20:58:00,5530.0,ok
601138,SH601138,工业富联,38.0,0.0,-24.0,2570.0,2026-07-10 20:58:00,5530.0,ok
300475,SZ300475,香农芯创,39.0,0.0,74.0,2122.0,2026-07-10 20:58:00,5530.0,ok
600360,SH600360,华微电子,40.0,0.0,27.0,2302.0,2026-07-10 20:58:00,5530.0,ok
600519,SH600519,贵州茅台,41.0,0.0,12.0,2365.0,2026-07-10 20:58:00,5530.0,ok
001270,SZ001270,铖昌科技,42.0,0.0,163.0,1836.0,2026-07-10 20:58:00,5530.0,ok
603137,SH603137,恒尚节能,43.0,0.0,4.0,2409.0,2026-07-10 20:58:00,5530.0,ok
603127,SH603127,昭衍新药,44.0,0.0,590.0,1016.0,2026-07-10 20:58:00,5530.0,ok
600343,SH600343,航天动力,45.0,0.0,435.0,1228.0,2026-07-10 20:58:00,5530.0,ok
600396,SH600396,华电辽能,46.0,0.0,202.0,1719.0,2026-07-10 20:58:00,5530.0,ok
300750,SZ300750,宁德时代,47.0,0.0,122.0,1954.0,2026-07-10 20:58:00,5530.0,ok
