code,market_symbol,name,rank,rank_change,his_rank_change,his_rank_change_rank,calc_time,market_all_count,rank_status,collected_at,industry_boards,primary_industry,exchange_industry,concept_boards,primary_concept,concept_count
000021,SZ000021,深科技,34,0,12,2433,2026-06-18 17:08:00,5528,ok,2026-06-18T17:09:15,,C 制造业,C 制造业,,,0
000002,SZ000002,万  科Ａ,581,0,52,2198,2026-06-18 17:08:00,5528,ok,2026-06-18T17:09:15,,K 房地产,K 房地产,,,0
000012,SZ000012,南  玻Ａ,613,0,-296,4046,2026-06-18 17:08:00,5528,ok,2026-06-18T17:09:15,,C 制造业,C 制造业,,,0
000001,SZ000001,平安银行,745,1,389,1003,2026-06-18 17:08:00,5528,ok,2026-06-18T17:09:15,,J 金融业,J 金融业,,,0
000006,SZ000006,深振业Ａ,845,0,1857,130,2026-06-18 17:08:00,5528,ok,2026-06-18T17:09:15,,K 房地产,K 房地产,,,0
000027,SZ000027,深圳能源,1286,0,195,1550,2026-06-18 17:08:00,5528,ok,2026-06-18T17:09:15,,D 水电煤气,D 水电煤气,,,0
000016,SZ000016,*ST康佳A,1622,0,284,1254,2026-06-18 17:08:00,5528,ok,2026-06-18T17:09:15,,C 制造业,C 制造业,,,0
000025,SZ000025,特  力Ａ,1698,0,-152,3455,2026-06-18 17:08:00,5528,ok,2026-06-18T17:09:15,,F 批发零售,F 批发零售,,,0
000026,SZ000026,飞亚达,2198,-1,-781,5049,2026-06-18 17:08:00,5528,ok,2026-06-18T17:09:15,,F 批发零售,F 批发零售,,,0
000009,SZ000009,中国宝安,2457,1,214,1470,2026-06-18 17:08:00,5528,ok,2026-06-18T17:09:15,,J 金融业,J 金融业,,,0
