board_type,board,stock_count,best_rank,avg_rank,top_stocks
concept,融资融券,180,4,814.74,000725:京东方Ａ#4 | 600118:中国卫星#6 | 000021:深科技#8 | 600667:太极实业#10 | 002202:金风科技#13
concept,股权激励,120,22,801.98,300059:东方财富#22 | 600410:华胜天成#23 | 002407:多氟多#30 | 000063:中兴通讯#33 | 300058:蓝色光标#35
concept,光伏,112,17,868.24,600206:有研新材#17 | 600522:中天科技#37 | 300102:乾照光电#50 | 003009:中天火箭#54 | 000066:中国长城#61
concept,业绩预升,97,13,783.35,002202:金风科技#13 | 002156:通富微电#26 | 600360:华微电子#40 | 000620:盈新发展#58 | 002241:歌尔股份#68
concept,国防军工,92,6,679.68,600118:中国卫星#6 | 000977:浪潮信息#7 | 600879:XD航天电#9 | 002342:巨力索具#14 | 000547:航天发展#16
concept,重组概念,87,10,891.25,600667:太极实业#10 | 300059:东方财富#22 | 002131:利欧股份#29 | 600745:*ST闻泰#34 | 600396:华电辽能#46
concept,参股金融,83,8,861.24,000021:深科技#8 | 300059:东方财富#22 | 600487:亨通光电#32 | 000620:盈新发展#58 | 000100:TCL科技#77
concept,专精特新,81,11,795.91,300065:海兰信#11 | 002747:埃斯顿#27 | 001270:铖昌科技#42 | 603127:昭衍新药#44 | 003009:中天火箭#54
concept,军工航天,80,6,646.79,600118:中国卫星#6 | 000977:浪潮信息#7 | 600879:XD航天电#9 | 300065:海兰信#11 | 002342:巨力索具#14
concept,光伏概念,75,25,850.01,002384:东山精密#25 | 300102:乾照光电#50 | 000066:中国长城#61 | 600703:三安光电#81 | 300274:阳光电源#97
concept,业绩预降,72,10,800.97,600667:太极实业#10 | 002115:三维通信#28 | 002407:多氟多#30 | 600487:亨通光电#32 | 000988:华工科技#56
concept,基金重仓,71,33,807.97,000063:中兴通讯#33 | 600519:贵州茅台#41 | 002241:歌尔股份#68 | 600703:三安光电#81 | 000858:五 粮 液#83
concept,军民融合,67,6,648.24,600118:中国卫星#6 | 600879:XD航天电#9 | 300065:海兰信#11 | 002342:巨力索具#14 | 000547:航天发展#16
concept,保险重仓,65,33,785.75,000063:中兴通讯#33 | 600519:贵州茅台#41 | 002241:歌尔股份#68 | 000887:中鼎股份#75 | 000858:五 粮 液#83
concept,风电,62,13,833.15,002202:金风科技#13 | 600487:亨通光电#32 | 600522:中天科技#37 | 600396:华电辽能#46 | 601991:大唐发电#71
concept,金融参股,60,8,854.33,000021:深科技#8 | 000547:航天发展#16 | 600487:亨通光电#32 | 000063:中兴通讯#33 | 600360:华微电子#40
concept,锂电池,55,30,792.85,002407:多氟多#30 | 600522:中天科技#37 | 002192:融捷股份#62 | 000636:风华高科#63 | 002709:天赐材料#65
concept,含H股,54,13,852.44,002202:金风科技#13 | 000063:中兴通讯#33 | 601991:大唐发电#71 | 002594:比亚迪#78 | 601899:紫金矿业#106
concept,社保重仓,50,13,895.7,002202:金风科技#13 | 002241:歌尔股份#68 | 600176:中国巨石#73 | 000858:五 粮 液#83 | 002129:TCL中环#128
concept,券商重仓,45,9,725.4,600879:XD航天电#9 | 600522:中天科技#37 | 002465:海格通信#89 | 600030:中信证券#131 | 002049:紫光国微#156
concept,QFII重仓,41,6,849.68,600118:中国卫星#6 | 002342:巨力索具#14 | 600172:黄河旋风#31 | 600519:贵州茅台#41 | 600498:XD烽火通#99
concept,碳中和,38,69,919.97,603698:航天工程#69 | 600378:昊华科技#145 | 300105:龙源技术#224 | 000811:冰轮环境#247 | 002272:川润股份#338
concept,央企50,37,6,812.49,600118:中国卫星#6 | 600879:XD航天电#9 | 601991:大唐发电#71 | 600030:中信证券#131 | 600150:中国船舶#159
concept,华为概念,35,8,683.46,000021:深科技#8 | 002384:东山精密#25 | 600487:亨通光电#32 | 000988:华工科技#56 | 002281:光迅科技#60
concept,低碳经济,35,13,758.97,002202:金风科技#13 | 600360:华微电子#40 | 600396:华电辽能#46 | 601991:大唐发电#71 | 600151:航天机电#246
concept,特斯拉,35,25,684.4,002384:东山精密#25 | 002156:通富微电#26 | 000988:华工科技#56 | 000887:中鼎股份#75 | 002594:比亚迪#78
concept,信托重仓,35,33,780.43,000063:中兴通讯#33 | 600703:三安光电#81 | 002465:海格通信#89 | 300054:鼎龙股份#123 | 002167:东方锆业#162
concept,创新药,34,44,697.41,603127:昭衍新药#44 | 300255:常山药业#51 | 002317:众生药业#64 | 300759:康龙化成#113 | 600276:恒瑞医药#115
concept,成渝特区,34,83,753.62,000858:五 粮 液#83 | 600353:旭光电子#117 | 600378:昊华科技#145 | 002558:巨人网络#150 | 000810:创维数字#157
concept,新能源,33,13,816.55,002202:金风科技#13 | 600206:有研新材#17 | 600396:华电辽能#46 | 002129:TCL中环#128 | 600111:北方稀土#201
concept,华为汽车,33,103,918.79,600105:永鼎股份#103 | 002050:三花智控#109 | 002792:通宇通讯#183 | 002674:兴业科技#265 | 600418:江淮汽车#384
concept,整体上市,32,6,952.69,600118:中国卫星#6 | 600879:XD航天电#9 | 600362:江西铜业#202 | 600900:长江电力#260 | 002415:海康威视#303
concept,物联网,32,9,878.34,600879:XD航天电#9 | 000988:华工科技#56 | 002402:和而泰#57 | 000901:航天科技#66 | 300184:力源信息#121
concept,大飞机,31,6,710.45,600118:中国卫星#6 | 600343:航天动力#45 | 000901:航天科技#66 | 002049:紫光国微#156 | 603601:再升科技#215
concept,稀缺资源,31,62,623.26,002192:融捷股份#62 | 000933:神火股份#108 | 603993:洛阳钼业#136 | 002428:云南锗业#140 | 600111:北方稀土#201
concept,锂矿,28,62,689.43,002192:融捷股份#62 | 002594:比亚迪#78 | 601899:紫金矿业#106 | 002466:天齐锂业#172 | 301092:争光股份#195
concept,分拆上市,26,5,666.23,000938:紫光股份#5 | 000021:深科技#8 | 000063:中兴通讯#33 | 000988:华工科技#56 | 601991:大唐发电#71
concept,黄河三角,24,15,965.54,300308:中际旭创#15 | 300285:国瓷材料#158 | 600986:浙文互联#163 | 002490:山东墨龙#238 | 000811:冰轮环境#247
