board_path,board_l1,board_l2,board_l3,is_tech,stock_count,best_rank,avg_rank,top_stocks
科技>电子制造与通信设备>其他电子通信,科技,电子制造与通信设备,其他电子通信,True,174,6,951.93,600584:长电科技#6 | 000100:TCL科技#26 | 000636:风华高科#28 | 000021:深科技#34 | 600183:生益科技#44 | 002463:沪电股份#69 | 600707:彩虹股份#83 | 600498:烽火通信#93
科技>AI算力与数据中心>算力基础设施,科技,AI算力与数据中心,算力基础设施,True,101,21,806.56,002354:天娱数科#21 | 300166:东方国信#40 | 300418:昆仑万维#52 | 603002:宏昌电子#86 | 688041:海光信息#103 | 001339:智微智能#122 | 300373:扬杰科技#141 | 002261:拓维信息#147
科技>半导体与先进封装>芯片/半导体,科技,半导体与先进封装,芯片/半导体,True,86,3,785.95,603986:兆易创新#3 | 002185:华天科技#9 | 600172:黄河旋风#25 | 002156:通富微电#46 | 300475:香农芯创#48 | 002971:和远气体#55 | 600460:士兰微#61 | 300223:北京君正#77
科技>光通信与高速互联>光模块/CPO,科技,光通信与高速互联,光模块/CPO,True,66,8,523.86,300308:中际旭创#8 | 300285:国瓷材料#10 | 002281:光迅科技#13 | 600522:中天科技#16 | 002491:通鼎互联#22 | 300433:蓝思科技#27 | 600206:有研新材#30 | 300319:麦捷科技#33
科技>软件AI与信创>AI应用,科技,软件AI与信创,AI应用,True,66,109,1003.64,600545:卓郎智能#109 | 002432:九安医疗#139 | 300058:蓝色光标#140 | 002044:美年健康#162 | 000839:国安股份#202 | 000681:视觉中国#208 | 002907:华森制药#258 | 300364:中文在线#278
科技>AI终端与消费电子>AI终端,科技,AI终端与消费电子,AI终端,True,62,1,986.31,000725:京东方Ａ#1 | 600703:三安光电#45 | 301526:国际复材#84 | 000066:中国长城#88 | 300088:长信科技#91 | 301308:江波龙#95 | 002938:鹏鼎控股#114 | 603256:宏和科技#118
科技>软件AI与信创>软件信息服务,科技,软件AI与信创,软件信息服务,True,62,119,1330.26,002421:达实智能#119 | 002131:利欧股份#346 | 600589:大位科技#406 | 300302:同有科技#422 | 301313:凡拓数创#544 | 600406:国电南瑞#609 | 002624:完美世界#610 | 300292:吴通控股#661
科技>半导体与先进封装>半导体设备材料,科技,半导体与先进封装,半导体设备材料,True,52,56,917.81,603773:沃格光电#56 | 601208:东材科技#80 | 300666:江丰电子#116 | 002008:大族激光#131 | 688146:中船特气#134 | 002409:雅克科技#144 | 603738:泰晶科技#207 | 603005:晶方科技#208
科技>PCB与电子制造>PCB,科技,PCB与电子制造,PCB,True,50,5,415.92,002579:中京电子#5 | 000657:中钨高新#15 | 002384:东山精密#18 | 301217:铜冠铜箔#20 | 002436:兴森科技#24 | 600226:亨通股份#32 | 002636:金安国纪#49 | 603011:合锻智能#54
科技>机器人与智能汽车>智能汽车,科技,机器人与智能汽车,智能汽车,True,37,17,1024.65,600487:亨通光电#17 | 002050:三花智控#96 | 002674:兴业科技#207 | 300024:机器人#277 | 000625:长安汽车#321 | 002196:方正电机#438 | 600360:华微电子#450 | 603119:浙江荣泰#506
