board_type,board,stock_count,best_rank,avg_rank,top_stocks
industry,计算机、通信和其他电子设备制造业,291,1,723.87,002185:华天科技#1 | 603986:兆易创新#2 | 600584:长电科技#3 | 000725:京东方Ａ#4 | 000938:紫光股份#5
industry,电气机械和器材制造业,98,32,925.76,600487:亨通光电#32 | 600522:中天科技#37 | 300750:宁德时代#47 | 300274:阳光电源#97 | 600105:永鼎股份#103
industry,化学原料和化学制品制造业,94,19,921.65,002361:神剑股份#19 | 002407:多氟多#30 | 002409:雅克科技#67 | 300821:东岳硅材#79 | 300054:鼎龙股份#123
industry,软件和信息技术服务业,76,23,956.43,600410:华胜天成#23 | 001270:铖昌科技#42 | 002261:拓维信息#86 | 688256:寒武纪#100 | 300017:网宿科技#186
industry,金属制品、机械和设备修理业,71,19,887.83,002361:神剑股份#19 | 002407:多氟多#30 | 002192:融捷股份#62 | 002709:天赐材料#65 | 002409:雅克科技#67
industry,有色金属冶炼和压延加工业,53,17,753.79,600206:有研新材#17 | 002149:西部材料#90 | 000933:神火股份#108 | 002842:翔鹭钨业#137 | 002428:云南锗业#140
industry,通用设备制造业,42,13,817.71,002202:金风科技#13 | 002050:三花智控#109 | 000811:冰轮环境#247 | 002774:快意电梯#268 | 688017:XD绿的谐#275
industry,医药制造业,39,48,794.51,603538:美诺华#48 | 300255:常山药业#51 | 002317:众生药业#64 | 600276:恒瑞医药#115 | 002821:凯莱英#284
industry,非金属矿物制品业,34,31,868.41,600172:黄河旋风#31 | 600176:中国巨石#73 | 002457:青龙管业#160 | 301526:国际复材#166 | 603601:再升科技#215
industry,电力、热力生产和供应业,33,46,947.79,600396:华电辽能#46 | 601991:大唐发电#71 | 600821:金开新能#105 | 600900:长江电力#260 | 600863:华能蒙电#356
industry,汽车制造业,30,66,880.5,000901:航天科技#66 | 002594:比亚迪#78 | 301005:超捷股份#102 | 001365:天海电子#299 | 002536:飞龙股份#334
industry,互联网和相关服务,29,20,759.24,002354:天娱数科#20 | 002131:利欧股份#29 | 300418:昆仑万维#114 | 002558:巨人网络#150 | 600986:浙文互联#163
industry,资本市场服务,25,22,930.88,300059:东方财富#22 | 600030:中信证券#131 | 600909:华安证券#167 | 000783:长江证券#331 | 601066:中信建投#377
industry,有色金属矿采选业,25,62,862.0,002192:融捷股份#62 | 601899:紫金矿业#106 | 603993:洛阳钼业#136 | 600988:赤峰黄金#326 | 601168:西部矿业#466
industry,金属制品业,22,14,1012.32,002342:巨力索具#14 | 603629:利通电子#182 | 603339:四方科技#294 | 002297:博云新材#300 | 003043:华亚智能#528
industry,橡胶和塑料制品业,20,75,1058.5,000887:中鼎股份#75 | 002812:恩捷股份#289 | 603991:领先股份#376 | 002585:双星新材#429 | 603726:朗迪集团#530
industry,土木工程建筑业,16,10,966.88,600667:太极实业#10 | 601868:中国能建#456 | 603778:国晟科技#463 | 600170:上海建工#522 | 601669:XD中国电#570
industry,石油和天然气开采业,15,106,713.93,601899:紫金矿业#106 | 603993:洛阳钼业#136 | 600988:赤峰黄金#326 | 601168:西部矿业#466 | 600497:驰宏锌锗#472
industry,酒、饮料和精制茶制造业,14,41,738.71,600519:贵州茅台#41 | 000858:五 粮 液#83 | 000568:泸州老窖#446 | 600809:山西汾酒#469 | 600702:舍得酒业#602
industry,房地产业,14,58,609.14,000620:盈新发展#58 | 002208:合肥城建#94 | 600376:首开股份#146 | 000048:京基智农#190 | 600641:先导基电#276
industry,零售业,14,320,876.57,000078:ST海王#320 | 000759:中百集团#333 | 000417:合百集团#394 | 601933:永辉超市#421 | 000564:供销大集#487
industry,货币金融服务,14,343,1003.36,600036:XD招商银#343 | 601288:农业银行#353 | 601398:工商银行#454 | 601988:XD中国银#674 | 601939:建设银行#750
industry,商务服务业,12,28,834.83,002115:三维通信#28 | 300058:蓝色光标#35 | 601888:中国中免#297 | 002181:粤 传 媒#567 | 002400:省广集团#588
