code,market_symbol,name,rank,rank_change,his_rank_change,his_rank_change_rank,calc_time,market_all_count,rank_status,collected_at,industry_boards,primary_industry,exchange_industry,concept_boards,primary_concept,concept_count,is_tech,board_l1,board_l2,board_l3,board_path,all_tech_l2,all_tech_l3,tech_source_boards,classification_reason,classified_at
002185,SZ002185,华天科技,1,0.0,0.0,2430.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,C 制造业,华为海思;土地流转;触摸屏;陕甘宁,华为海思,4,True,科技,半导体与先进封装,芯片/半导体,科技>半导体与先进封装>芯片/半导体,半导体与先进封装;机器人与智能汽车;电子制造与通信设备,芯片/半导体;智能汽车;其他电子通信,第三代半导体;华为海思概念股;汽车芯片;industry_fallback,ths,2026-07-11T18:23:53
603986,SH603986,兆易创新,2,0.0,0.0,2430.0,2026-07-10 21:02:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,,无线耳机,无线耳机,1,True,科技,半导体与先进封装,芯片/半导体,科技>半导体与先进封装>芯片/半导体,半导体与先进封装;机器人与智能汽车;电子制造与通信设备,芯片/半导体;机器人;智能汽车;其他电子通信,MCU芯片;存储芯片;人形机器人;汽车电子;汽车芯片;industry_fallback,ths,2026-07-11T18:23:53
600584,SH600584,长电科技,3,0.0,0.0,2438.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,,华为海思;智能穿戴;电子支付;绿色照明;触摸屏,华为海思,5,True,科技,电子制造与通信设备,其他电子通信,科技>电子制造与通信设备>其他电子通信,电子制造与通信设备,其他电子通信,industry_fallback,industry_fallback,2026-07-11T18:23:53
000725,SZ000725,京东方Ａ,4,0.0,0.0,2423.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,C 制造业,含B股;融资融券,含B股,2,True,科技,AI终端与消费电子,AI终端,科技>AI终端与消费电子>AI终端,AI终端与消费电子;电子制造与通信设备,AI终端;其他电子通信,AI PC;industry_fallback,ths,2026-07-11T18:23:53
000938,SZ000938,紫光股份,5,0.0,6.0,2401.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,C 制造业,3D打印;分拆上市;智能机器;机器人概念;高校背景,3D打印,5,True,科技,AI算力与数据中心,算力基础设施,科技>AI算力与数据中心>算力基础设施,AI算力与数据中心;电子制造与通信设备,算力基础设施;其他电子通信,英伟达概念;industry_fallback,ths,2026-07-11T18:23:53
600118,SH600118,中国卫星,6,0.0,161.0,1840.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,,QFII重仓;军工航天;军民融合;卫星导航;国防军工;大飞机;央企50;整体上市;融资融券,QFII重仓,9,True,科技,电子制造与通信设备,其他电子通信,科技>电子制造与通信设备>其他电子通信,电子制造与通信设备,其他电子通信,industry_fallback,industry_fallback,2026-07-11T18:23:53
000977,SZ000977,浪潮信息,7,0.0,0.0,2424.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,C 制造业,军工航天;国产软件;国防军工,军工航天,3,True,科技,AI算力与数据中心,算力基础设施,科技>AI算力与数据中心>算力基础设施,AI算力与数据中心;电子制造与通信设备,算力基础设施;其他电子通信,英伟达概念;industry_fallback,ths,2026-07-11T18:23:53
000021,SZ000021,深科技,8,0.0,-2.0,2448.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,C 制造业,分拆上市;华为概念;参股金融;智能电网;深圳本地;融资融券;金融参股,分拆上市,7,True,科技,电子制造与通信设备,其他电子通信,科技>电子制造与通信设备>其他电子通信,电子制造与通信设备,其他电子通信,industry_fallback,industry_fallback,2026-07-11T18:23:53
600879,SH600879,XD航天电,9,0.0,236.0,1647.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,,,,军工航天;军民融合;券商重仓;卫星导航;国防军工;央企50;整体上市;武汉规划;物联网,军工航天,9,False,未分类,,,未分类,,,,non_tech_primary_industry,2026-07-11T18:23:53
600667,SH600667,太极实业,10,0.0,-5.0,2461.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,土木工程建筑业,土木工程建筑业,,业绩预降;融资融券;重组概念,业绩预降,3,True,科技,半导体与先进封装,先进封装,科技>半导体与先进封装>先进封装,半导体与先进封装,先进封装;芯片/半导体,先进封装;存储芯片;芯片概念,ths,2026-07-11T18:23:53
