project,family,name,category,meaning,formula,parameters,direction,score,source_file,notes
Eastmoney,PopularitySignal,rank_change,人气排名变化,衡量来源榜单中的人气排名变化；正值表示排名提升，负值表示排名回落。,"clip(rank_change, -50, 50)",,,,lumen_qlib/sector_rotation_pipeline.py,人气信号用于反映市场关注度，不代表价格趋势必然延续。
Eastmoney,PopularitySignal,hot_rank_score,人气热度,把东方财富全市场人气排名换算为 0 到 100 分，排名越靠前分数越高。,100 × (1 - (rank - 1) / market_all_count),,,,lumen_qlib/sector_rotation_pipeline.py,人气信号用于反映市场关注度，不代表价格趋势必然延续。
LumenAlpha,AdvancedSignalGenerator,N型反包,弱转强,涨停后缩量回调再反包。,当前源码未实现：N型反包列仅初始化为 False，尚无触发条件。,t=最新交易日；t-1=前一交易日；Valid=非空检查,buy,2.5,LumenAlpha/stock_analyzer_project/advanced_signals.py,
LumenAlpha,AdvancedSignalGenerator,弱转强,弱转强,龙头股调整后转强。,"存在 j∈[t-5,t-1]：Close[j]/Close[j-1]-1 > 9.5%，且 Volume[t] < 0.7×Mean(Volume[j+1:t])，Close[t] > Low[j]，Volume[t] > 1.5×VOL_MA5[t]",t=最新交易日；t-1=前一交易日；Valid=非空检查,buy,3.0,LumenAlpha/stock_analyzer_project/advanced_signals.py,
LumenAlpha,AdvancedSignalGenerator,缩量企稳MA10,弱转强,缩量企稳在 MA10 均线。,"Volume[t-k] < 0.7×VOL_MA5[t-k]（k=0,1,2），且 |Close[t]-MA10[t]|/MA10[t] < 2%",t=最新交易日；t-1=前一交易日；Valid=非空检查,buy,2.0,LumenAlpha/stock_analyzer_project/advanced_signals.py,
LumenAlpha,AdvancedSignalGenerator,缩量企稳MA20,弱转强,缩量企稳在 MA20 均线。,"Volume[t-k] < 0.7×VOL_MA5[t-k]（k=0,1,2），且 |Close[t]-MA20[t]|/MA20[t] < 2%",t=最新交易日；t-1=前一交易日；Valid=非空检查,buy,2.0,LumenAlpha/stock_analyzer_project/advanced_signals.py,
LumenAlpha,AdvancedSignalGenerator,缩量企稳MA5,弱转强,缩量企稳在 MA5 均线。,"Volume[t-k] < 0.7×VOL_MA5[t-k]（k=0,1,2），且 |Close[t]-MA5[t]|/MA5[t] < 2%",t=最新交易日；t-1=前一交易日；Valid=非空检查,buy,2.0,LumenAlpha/stock_analyzer_project/advanced_signals.py,
LumenAlpha,AdvancedSignalGenerator,仙人指路,技术形态,上影线试盘可能启动。,"Body=|Close[t]-Close[t-1]|；Upper=High[t]-Max(Close[t],Close[t-1])；Body > 0 AND Upper > 2×Body",t=最新交易日；t-1=前一交易日；Valid=非空检查,buy,1.5,LumenAlpha/stock_analyzer_project/advanced_signals.py,
LumenAlpha,AdvancedSignalGenerator,均线多头排列,技术形态,短期均线>中期均线>长期均线。,MA5[t] > MA10[t] > MA20[t],t=最新交易日；t-1=前一交易日；Valid=非空检查,buy,1.5,LumenAlpha/stock_analyzer_project/advanced_signals.py,
LumenAlpha,AdvancedSignalGenerator,均线空头排列,技术形态,均线向下发散。,MA5[t] < MA10[t] < MA20[t],t=最新交易日；t-1=前一交易日；Valid=非空检查,sell,-1.5,LumenAlpha/stock_analyzer_project/advanced_signals.py,
LumenAlpha,AdvancedSignalGenerator,早晨之星,技术形态,反转形态看涨。,Close[t-2] < Close[t-3] AND |Close[t-1]-Close[t-2]| < 0.5×|Close[t-2]-Close[t-3]| AND Close[t] > (Close[t-2]+Close[t-3])/2,t=最新交易日；t-1=前一交易日；Valid=非空检查,buy,2.5,LumenAlpha/stock_analyzer_project/advanced_signals.py,
LumenAlpha,AdvancedSignalGenerator,突破盘整,技术形态,盘整后放量突破。,(Max(High[t-30:t-1])-Min(Low[t-30:t-1]))/Min(Low[t-30:t-1]) < 15% AND Close[t] > Max(High[t-30:t-1]) AND Volume[t] > 1.5×VOL_MA5[t],t=最新交易日；t-1=前一交易日；Valid=非空检查,buy,2.0,LumenAlpha/stock_analyzer_project/advanced_signals.py,
LumenAlpha,AdvancedSignalGenerator,主力资金流出,资金面,主力资金净流出。,Volume[t] > 1.5×VOL_MA20[t] AND Close[t] < Close[t-1],t=最新交易日；t-1=前一交易日；Valid=非空检查,sell,-1.0,LumenAlpha/stock_analyzer_project/advanced_signals.py,
LumenAlpha,AdvancedSignalGenerator,换手率突增,资金面,换手率大幅增加关注。,"TurnoverEst[t] > 2×TurnoverEst[t-1]；TurnoverEst = Volume/(Close×1,000,000)×100",t=最新交易日；t-1=前一交易日；Valid=非空检查,neutral,1.0,LumenAlpha/stock_analyzer_project/advanced_signals.py,
LumenAlpha,AdvancedSignalGenerator,资金连续净流入,资金面,主力资金连续3天流入。,"连续 k=0,1,2 均满足：Volume[t-k] > 1.5×VOL_MA20[t-k] AND Close[t-k] > Close[t-k-1]",t=最新交易日；t-1=前一交易日；Valid=非空检查,buy,2.0,LumenAlpha/stock_analyzer_project/advanced_signals.py,
LumenAlpha,AdvancedSignalGenerator,高换手率主力流入,资金面,高换手且主力资金流入。,TurnoverEst[t] > 10 AND Volume[t] > 1.5×VOL_MA20[t] AND Close[t] > Close[t-1],t=最新交易日；t-1=前一交易日；Valid=非空检查,buy,2.0,LumenAlpha/stock_analyzer_project/advanced_signals.py,
LumenAlpha,AdvancedSignalGenerator,KDJ极度超卖,超跌反弹,KDJ<10 极度超卖。,K[t] < 10,t=最新交易日；t-1=前一交易日；Valid=非空检查,buy,1.5,LumenAlpha/stock_analyzer_project/advanced_signals.py,
LumenAlpha,AdvancedSignalGenerator,RSI极度超卖,超跌反弹,RSI<20 极度超卖。,RSI[t] < 20,t=最新交易日；t-1=前一交易日；Valid=非空检查,buy,2.0,LumenAlpha/stock_analyzer_project/advanced_signals.py,
LumenAlpha,AdvancedSignalGenerator,严重超跌,超跌反弹,短期大幅下跌可能反弹。,Close[t]/Close[t-10]-1 < -20%,t=最新交易日；t-1=前一交易日；Valid=非空检查,buy,1.5,LumenAlpha/stock_analyzer_project/advanced_signals.py,
