code,market_symbol,name,rank,rank_change,his_rank_change,his_rank_change_rank,calc_time,market_all_count,rank_status,collected_at,industry_boards,primary_industry,exchange_industry,concept_boards,primary_concept,concept_count,is_tech,board_l1,board_l2,board_l3,board_path,all_tech_l2,all_tech_l3,tech_source_boards,classification_reason,classified_at,close,ret_1d,ret_5d,ret_20d,ma20_bias,volume_ratio_20,volatility_20,qlib_mom_5_rank,qlib_mom_20_rank,qlib_ma20_bias_rank,qlib_volume_rank,qlib_volatility_rank,qlib_factor_score,lumen_score,lumen_rating,lumen_signal_count,sector_ret_5d,sector_ret_20d,sector_trend_score,popularity_score,lumen_score_norm,combined_score,top_signals
603137,SH603137,恒尚节能,43,0.0,4.0,2409.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,,,,,,0,False,未分类,,,未分类,,,,non_tech_primary_industry,2026-07-11T18:23:53,26.75,0.06150793650793651,0.5534262485481998,1.0529547198772065,0.7429548786447302,6.34047952806318,0.05660450132911398,100.0,100.0,100.0,100.0,42.0,97.1,,no_data,0,0.15627446740717543,0.3153248636318986,97.25,99.24050632911391,50.0,87.51,Eastmoney:hot_rank_score(99.2) | qlib:qlib_factor_score(97.1) | qlib:momentum_20d(50.0) | qlib:volume_ratio_20d(50.0) | Eastmoney:rank_change(0.0)
000977,SZ000977,浪潮信息,7,0.0,0.0,2424.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,C 制造业,军工航天;国产软件;国防军工,军工航天,3,True,科技,AI算力与数据中心,算力基础设施,科技>AI算力与数据中心>算力基础设施,AI算力与数据中心;电子制造与通信设备,算力基础设施;其他电子通信,英伟达概念;industry_fallback,ths,2026-07-11T18:23:53,89.52,0.04105128503314348,0.3492087415222307,0.5477178423236513,0.3082555131746241,2.9483136168875936,0.0480872151465888,98.66666666666667,94.66666666666667,97.33333333333334,98.66666666666667,70.0,95.77,,no_data,0,0.1402494923371247,0.2709516734154167,92.25,99.89150090415913,50.0,86.69,Eastmoney:hot_rank_score(99.9) | qlib:qlib_factor_score(95.8) | qlib:volume_ratio_20d(48.7) | qlib:momentum_20d(44.7) | Eastmoney:rank_change(0.0)
000938,SZ000938,紫光股份,5,0.0,6.0,2401.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,C 制造业,3D打印;分拆上市;智能机器;机器人概念;高校背景,3D打印,5,True,科技,AI算力与数据中心,算力基础设施,科技>AI算力与数据中心>算力基础设施,AI算力与数据中心;电子制造与通信设备,算力基础设施;其他电子通信,英伟达概念;industry_fallback,ths,2026-07-11T18:23:53,38.41,0.07651345291479816,0.2684940554821662,0.5187821273230524,0.31007196698386696,2.1383860667896637,0.05014357994762195,96.66666666666667,92.66666666666666,98.0,92.0,62.66666666666667,93.33,,no_data,0,0.1402494923371247,0.2709516734154167,92.25,99.92766726943943,50.0,85.97,Eastmoney:hot_rank_score(99.9) | qlib:qlib_factor_score(93.3) | qlib:momentum_20d(42.7) | qlib:volume_ratio_20d(42.0) | Eastmoney:rank_change(0.0)
603019,SH603019,中科曙光,24,0.0,22.0,2323.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,,军工航天;国防军工,军工航天,2,True,科技,AI算力与数据中心,算力基础设施,科技>AI算力与数据中心>算力基础设施,AI算力与数据中心;软件AI与信创;电子制造与通信设备,算力基础设施;AI应用;信创与数据要素;其他电子通信,算力租赁;智谱AI;网络安全;industry_fallback,ths,2026-07-11T18:23:53,107.5,0.03375324550437542,0.15990504963314622,0.321125722010569,0.14303942156888816,1.820566228443418,0.0434257201221939,94.0,81.33333333333333,86.0,82.0,80.0,86.1,,no_data,0,0.1402494923371247,0.2709516734154167,92.25,99.58408679927668,50.0,83.68,Eastmoney:hot_rank_score(99.6) | qlib:qlib_factor_score(86.1) | qlib:volume_ratio_20d(32.0) | qlib:momentum_20d(31.3) | Eastmoney:rank_change(0.0)
300418,SZ300418,昆仑万维,114,0.0,-8.0,2477.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,互联网和相关服务,互联网和相关服务,I 信息技术,,,0,True,科技,AI算力与数据中心,算力基础设施,科技>AI算力与数据中心>算力基础设施,AI算力与数据中心;半导体与先进封装;软件AI与信创;AI终端与消费电子;机器人与智能汽车,算力基础设施;芯片/半导体;AI应用;消费电子;智能汽车;软件信息服务,算力租赁;东数西算(算力);芯片概念;AI语料;多模态AI;AI视频;AI应用;人工智能;AI智能体;华为概念;无人驾驶;industry_fallback,ths,2026-07-11T18:23:53,49.42,-0.01983339944466478,0.1584622597280827,0.3378451543042773,0.16442632800442958,1.8509497973457976,0.05008700367937845,93.33333333333333,82.0,90.0,82.66666666666667,63.33333333333333,86.17,,no_data,0,0.1402494923371247,0.2709516734154167,92.25,97.95660036166365,50.0,83.13,Eastmoney:hot_rank_score(98.0) | qlib:qlib_factor_score(86.2) | qlib:volume_ratio_20d(32.7) | qlib:momentum_20d(32.0) | Eastmoney:rank_change(0.0)
002185,SZ002185,华天科技,1,0.0,0.0,2430.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,C 制造业,华为海思;土地流转;触摸屏;陕甘宁,华为海思,4,True,科技,半导体与先进封装,芯片/半导体,科技>半导体与先进封装>芯片/半导体,半导体与先进封装;机器人与智能汽车;电子制造与通信设备,芯片/半导体;智能汽车;其他电子通信,第三代半导体;华为海思概念股;汽车芯片;industry_fallback,ths,2026-07-11T18:23:53,25.31,0.06658238516645598,0.29728344438749343,0.5110447761194028,0.22288254336377245,1.0299638757106995,0.05171141406549025,98.0,92.0,94.66666666666667,28.666666666666668,56.666666666666664,83.07,,no_data,0,0.0245676988397181,0.33183705531434304,93.25,100.0,50.0,83.04,Eastmoney:hot_rank_score(100.0) | qlib:qlib_factor_score(83.1) | qlib:momentum_20d(42.0) | Eastmoney:rank_change(0.0) | qlib:volume_ratio_20d(-21.3)
300065,SZ300065,海兰信,11,0.0,473.0,1172.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,C 制造业,专精特新;军工航天;军民融合;海工装备,专精特新,4,True,科技,电子制造与通信设备,其他电子通信,科技>电子制造与通信设备>其他电子通信,电子制造与通信设备,其他电子通信,industry_fallback,industry_fallback,2026-07-11T18:23:53,28.79,0.20008336807002913,0.28814317673378054,0.5888520971302427,0.3429111178487301,2.1578016628271914,0.053735540793039015,97.33333333333334,95.33333333333334,99.33333333333333,93.33333333333333,50.66666666666667,94.2,,no_data,0,0.019882560202737487,0.1584340178480348,67.25,99.81916817359856,50.0,82.94,Eastmoney:hot_rank_score(99.8) | qlib:qlib_factor_score(94.2) | qlib:momentum_20d(45.3) | qlib:volume_ratio_20d(43.3) | Eastmoney:rank_change(0.0)
600879,SH600879,XD航天电,9,0.0,236.0,1647.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,,,,军工航天;军民融合;券商重仓;卫星导航;国防军工;央企50;整体上市;武汉规划;物联网,军工航天,9,False,未分类,,,未分类,,,,non_tech_primary_industry,2026-07-11T18:23:53,23.29,0.10014170996693417,0.04674157303370774,0.15870646766169139,0.13358156287264866,1.5774813763606041,0.04100984533760081,72.66666666666667,63.33333333333333,83.33333333333334,68.66666666666667,84.66666666666667,72.0,,no_data,0,0.15627446740717543,0.3153248636318986,97.25,99.85533453887884,50.0,80.19,Eastmoney:hot_rank_score(99.9) | qlib:qlib_factor_score(72.0) | qlib:volume_ratio_20d(18.7) | qlib:momentum_20d(13.3) | Eastmoney:rank_change(0.0)
600360,SH600360,华微电子,40,0.0,27.0,2302.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,,业绩预升;低碳经济;军民融合;图们江;朝鲜改革;绿色照明;触摸屏;金融参股,业绩预升,8,True,科技,机器人与智能汽车,智能汽车,科技>机器人与智能汽车>智能汽车,机器人与智能汽车;电子制造与通信设备,智能汽车;其他电子通信,汽车芯片;industry_fallback,ths,2026-07-11T18:23:53,16.79,0.050031269543464596,0.12232620320855614,0.5004468275245755,0.2268011106239951,2.1290712570312547,0.04908472869838114,89.33333333333333,90.66666666666666,95.33333333333334,90.66666666666666,66.0,89.97,,no_data,0,-0.02529154192660943,0.15592534471617414,55.5,99.29475587703436,50.0,79.96,Eastmoney:hot_rank_score(99.3) | qlib:qlib_factor_score(90.0) | qlib:momentum_20d(40.7) | qlib:volume_ratio_20d(40.7) | Eastmoney:rank_change(0.0)
688523,SH688523,航天环宇,35,0.0,2078.0,129.0,2026-07-10 21:02:00,5530.0,ok,2026-07-11T18:23:44,,,,,,0,False,未分类,,,未分类,,,,non_tech_primary_industry,2026-07-11T18:23:53,61.18,0.20007846214201663,0.040653172308215746,0.1484888304862022,0.16270893316989254,2.0365753724878277,0.06904919995056008,68.66666666666667,60.0,88.66666666666667,86.0,14.000000000000002,69.93,,no_data,0,0.15627446740717543,0.3153248636318986,97.25,99.38517179023508,50.0,79.41,Eastmoney:hot_rank_score(99.4) | qlib:qlib_factor_score(69.9) | qlib:volume_ratio_20d(36.0) | qlib:momentum_20d(10.0) | Eastmoney:rank_change(0.0)
