board_path,board_l1,board_l2,board_l3,is_tech,stock_count,best_rank,avg_rank,top_stocks,curve_member_count,curve_members,sector_ret_5d,sector_ret_20d,sector_trend_score
科技>电子制造与通信设备>其他电子通信,科技,电子制造与通信设备,其他电子通信,True,126,3,809.52,600584:长电科技#3 | 600118:中国卫星#6 | 000021:深科技#8 | 300065:海兰信#11 | 002414:高德红外#21 | 300102:乾照光电#50 | 000636:风华高科#63 | 002709:天赐材料#65,8.0,600584:长电科技 | 600118:中国卫星 | 000021:深科技 | 300065:海兰信 | 002414:高德红外 | 300102:乾照光电 | 000636:风华高科 | 002709:天赐材料,0.019882560202737487,0.1584340178480348,67.25
科技>半导体与先进封装>芯片/半导体,科技,半导体与先进封装,芯片/半导体,True,62,1,790.03,002185:华天科技#1 | 603986:兆易创新#2 | 002156:通富微电#26 | 600172:黄河旋风#31 | 300475:香农芯创#39 | 001270:铖昌科技#42 | 002402:和而泰#57 | 600460:士兰微#84,8.0,002185:华天科技 | 603986:兆易创新 | 002156:通富微电 | 600172:黄河旋风 | 300475:香农芯创 | 001270:铖昌科技 | 002402:和而泰 | 600460:士兰微,0.0245676988397181,0.33183705531434304,93.25
科技>AI算力与数据中心>算力基础设施,科技,AI算力与数据中心,算力基础设施,True,60,5,770.78,000938:紫光股份#5 | 000977:浪潮信息#7 | 002354:天娱数科#20 | 603019:中科曙光#24 | 002261:拓维信息#86 | 300418:昆仑万维#114 | 300017:网宿科技#186 | 688041:海光信息#193,8.0,000938:紫光股份 | 000977:浪潮信息 | 002354:天娱数科 | 603019:中科曙光 | 002261:拓维信息 | 300418:昆仑万维 | 300017:网宿科技 | 688041:海光信息,0.1402494923371247,0.2709516734154167,92.25
科技>光通信与高速互联>光模块/CPO,科技,光通信与高速互联,光模块/CPO,True,46,15,623.24,300308:中际旭创#15 | 600206:有研新材#17 | 000063:中兴通讯#33 | 600522:中天科技#37 | 002281:光迅科技#60 | 300502:新易盛#74 | 300394:天孚通信#82 | 601869:长飞光纤#138,8.0,300308:中际旭创 | 600206:有研新材 | 000063:中兴通讯 | 600522:中天科技 | 002281:光迅科技 | 300502:新易盛 | 300394:天孚通信 | 601869:长飞光纤,0.013540320649512605,0.08498111618704529,48.5
科技>软件AI与信创>软件信息服务,科技,软件AI与信创,软件信息服务,True,43,29,1008.91,002131:利欧股份#29 | 002558:巨人网络#150 | 600986:浙文互联#163 | 002657:中科金财#283 | 301269:华大九天#367 | 600602:云赛智联#520 | 600406:国电南瑞#553 | 002421:达实智能#556,8.0,002131:利欧股份 | 002558:巨人网络 | 600986:浙文互联 | 002657:中科金财 | 301269:华大九天 | 600602:云赛智联 | 600406:国电南瑞 | 002421:达实智能,-0.007837376160703902,-0.07937267502923695,27.5
科技>AI终端与消费电子>AI终端,科技,AI终端与消费电子,AI终端,True,40,4,804.18,000725:京东方Ａ#4 | 600745:*ST闻泰#34 | 000066:中国长城#61 | 301308:江波龙#76 | 600703:三安光电#81 | 002815:崇达技术#93 | 001309:德明利#111 | 301526:国际复材#166,8.0,000725:京东方Ａ | 600745:*ST闻泰 | 000066:中国长城 | 301308:江波龙 | 600703:三安光电 | 002815:崇达技术 | 001309:德明利 | 301526:国际复材,-0.067229788702729,0.2412597783215642,53.0
科技>半导体与先进封装>半导体设备材料,科技,半导体与先进封装,半导体设备材料,True,39,54,703.44,688146:中船特气#54 | 002409:雅克科技#67 | 300054:鼎龙股份#123 | 603005:晶方科技#142 | 002008:大族激光#143 | 300346:南大光电#161 | 300666:江丰电子#211 | 603773:沃格光电#252,8.0,688146:中船特气 | 002409:雅克科技 | 300054:鼎龙股份 | 603005:晶方科技 | 002008:大族激光 | 300346:南大光电 | 300666:江丰电子 | 603773:沃格光电,-0.0608317393354314,-0.00669294776579199,22.25
科技>PCB与电子制造>PCB,科技,PCB与电子制造,PCB,True,31,25,793.84,002384:东山精密#25 | 002579:中京电子#107 | 300476:胜宏科技#110 | 002436:兴森科技#168 | 000657:中钨高新#250 | 001365:天海电子#299 | 301217:铜冠铜箔#313 | 300503:昊志机电#315,8.0,002384:东山精密 | 002579:中京电子 | 300476:胜宏科技 | 002436:兴森科技 | 000657:中钨高新 | 001365:天海电子 | 301217:铜冠铜箔 | 300503:昊志机电,-0.10116333404371569,0.07356591926161071,18.75
科技>软件AI与信创>AI应用,科技,软件AI与信创,AI应用,True,31,35,736.55,300058:蓝色光标#35 | 601360:三六零#210 | 301230:泓博医药#258 | 301165:锐捷网络#280 | 301171:易点天下#317 | 002044:美年健康#342 | 603466:风语筑#424 | 000158:常山北明#461,8.0,300058:蓝色光标 | 601360:三六零 | 301230:泓博医药 | 301165:锐捷网络 | 301171:易点天下 | 002044:美年健康 | 603466:风语筑 | 000158:常山北明,0.021061808119034353,0.1053364865753641,58.5
科技>半导体与先进封装>先进封装,科技,半导体与先进封装,先进封装,True,22,10,599.36,600667:太极实业#10 | 000988:华工科技#56 | 688256:寒武纪#100 | 600353:旭光电子#117 | 688525:佰维存储#176 | 002137:实益达#184 | 002119:康强电子#312 | 603991:领先股份#376,8.0,600667:太极实业 | 000988:华工科技 | 688256:寒武纪 | 600353:旭光电子 | 688525:佰维存储 | 002137:实益达 | 002119:康强电子 | 603991:领先股份,-0.04471248386984017,0.23879025143643617,54.25
